Player,FantPt,FanPosRank,FanOvRank
C.J. Ham\HamxC.00,9,106,
Dontrell Hilliard\HillDo00,9,109,
Kevin White\WhitKe00,9,164,
Luke Willson\WillLu00,9,81,
Cameron Batson\BatsCa00,8,165,
Corey Coleman\ColeCo00,8,166,
Tyler Conklin\ConkTy00,8,84,
Matt Lengel\LengMa00,8,85,
Elijhaa Penny\PennEl00,8,110,
Logan Thomas\ThomLo00,8,83,
Mark Walton\WaltMa00,8,111,
Derek Anderson\AndeDe00,7,55,
Kenjon Barner\BarnKe00,7,112,
Blake Bell\BellBl00,7,88,
Teddy Bridgewater\BridTe00,7,54,
Patrick DiMarco\DiMaPa00,7,113,
Jermaine Gresham\GresJe00,7,86,
Xavier Grimble\GrimXa00,7,90,
Detrez Newsome\NewsDe00,7,114,
Joshua Perkins\PerkJo02,7,89,
Eric Tomlinson\TomlEr01,7,87,
Russell Gage\GageRu00,6,168,
David Grinnage\GrinDa00,6,92,
Ryan Hewitt\HewiRy00,6,91,
JJ Nelson\NelsJJ00,6,167,
Bradley Sowell\SoweBr00,6,115,
Derrick Willies\WillDe06,6,169,
Kamar Aiken\AikeKa00,5,171,
Antony Auclair\AuclAn00,5,96,
Mike Boone\BoonMi00,5,117,
Noah Brown\BrowNo00,5,170,
Rico Gathers\GathRi00,5,99,
Shelton Gibson\GibsSh00,5,173,
Jacob Hollister\HollJa03,5,94,
DeShone Kizer\KizeDe00,5,56,
Eric Saubert\SaubEr00,5,97,
Durham Smythe\SmytDu00,5,95,
Neal Sterling\SterNe00,5,98,
Nate Sudfeld\SudfNa00,5,57,
Roc Thomas\ThomRo05,5,116,
Delanie Walker\WalkHu00,5,93,
Bobo Wilson\WilsJe00,5,172,
Chad Beebe\BeebCh00,4,176,
Tommy Bohanon\BohaTo00,4,119,
Ben Braunecker\BrauBe00,4,100,
Jawill Davis\DaviJa07,4,174,
Tyler Ervin\ErviTy00,4,125,
Jordan Franks\FranJo03,4,103,
Rashad Greene\GreeRa00,4,175,
Tyler Kroft\KrofTy00,4,104,
Marcedes Lewis\LewiMa00,4,101,
T.J. Logan\LogaT.00,4,120,
Tre Madden\MaddTr01,4,122,
Byron Marshall\MarsBy01,4,121,
David Morgan\MorgDa01,4,105,
Roosevelt Nix\NixxRo01,4,118,
Samaje Perine\PeriSa00,4,123,
John Phillips\PhilJo00,4,102,
Auden Tate\TateAu00,4,178,
Jalen Tolliver\TollJa00,4,177,
David Williams\WillDa011,4,124,
Dwayne Allen\AlleDw00,3,107,
Benny Cunningham\CunnBe01,3,129,
Mike Gillislee\GillMi00,3,127,
Jeremy Hill\HillJe01,3,128,
Jeremy Langford\LangJe00,3,130,
Brian Parker\ParkBr00,3,106,
Charone Peake\PeakCh00,3,180,
Shaun Wilson\WilsSh01,3,126,
Javon Wims\WimsJa00,3,179,
Nick Bellore\BellNi01,2,140,
Travaris Cadet\CadeTr00,2,132,
Matt Cassel\CassMa00,2,58,
Orson Charles\CharOr00,2,110,
Derrick Coleman\ColeDe00,2,134,
River Cracraft\CracRi00,2,181,
Sean Culkin\CulkSe00,2,108,
Justin Davis\DaviJu00,2,136,
Gehrig Dieter\DietGe00,2,184,
David Fluellen\FlueDa00,2,138,
Garrett Gilbert\GilbGa01,2,59,
KhaDarel Hodge\HodgKh00,2,191,
Justin Hunter\HuntJu00,2,185,
Darius Jackson\JackDa01,2,139,
Rishard Matthews\MattRi00,2,182,
Ray-Ray McCloud\McClRa00,2,186,
C.J. Prosise\ProsC.00,2,135,
Brian Quick\QuicBr00,2,188,
Keith Smith\SmitKe03,2,131,
Jonathan Stewart\StewJo00,2,137,
Tyrone Swoopes\SwooTy00,2,109,
De'Lance Turner\TurnDe01,2,133,
Malik Turner\TurnMa00,2,187,
Brandon Wilds\WildBr01,2,141,
Nick Williams\WillNi02,2,190,
Terrance Williams\WillTe01,2,189,
Brandon Zylstra\ZylsBr00,2,183,
Ameer Abdullah\AbduAm00,1,146,
Victor Bolden\BoldVi00,1,196,
Michael Burton\BurtMi00,1,151,
Damiere Byrd\ByrdDa00,1,200,
Jamaal Charles\CharJa00,1,142,
Sammie Coates\CoatSa00,1,194,
Alan Cross\CrosAl00,1,114,
Joshua Dobbs\DobbJo00,1,63,
Ross Dwelley\DwelRo00,1,111,
Matt Flanagan\FlanMa00,1,112,
Robert Griffin\GrifRo01,1,62,
Justin Hardee\HardJu01,1,195,
Keon Hatcher\HatcKe00,1,199,
Chad Henne\HennCh01,1,60,
Robert Kelley\KellRo00,1,149,
Marcus Kemp\KempMa00,1,203,
Jeremy Kerley\KerlJe00,1,201,
Darvin Kidsy\KidsDa00,1,198,
Allen Lazard\LazaAl00,1,202,
Khari Lee\LeexKh00,1,117,
Josh Malone\MaloJo00,1,193,
J.D. McKissic\McKiJ.00,1,150,
Jeremy McNichols\McNiJe00,1,148,
Christine Michael\MichCh00,1,147,
Johnny Mundt\MundJo00,1,118,
Jamize Olawale\OlawJa00,1,143,
Ricky Ortiz\OrtiRi00,1,145,
Cam Phillips\PhilCa01,1,197,
Richard Rodgers\RodgRi00,1,116,
Dion Sims\SimsDi00,1,115,
Hakeem Valles\VallHa00,1,113,
Justin Watson\WatsJu01,1,204,
Derek Watt\WattDe00,1,144,
Joe Webb\WebbJo00,1,61,
Tim White\WhitTi00,1,192,
Saeed Blacknall\BlacSa00,,210,
Daniel Brown\BrowDa04,,119,
Deante Burton\BurtDe00,,211,
Jehu Chesson\ChesJe00,,205,
Lavon Coleman\ColeLa02,,162,
Stacy Coley\ColeSt00,,212,
Pharoh Cooper\CoopPh00,,213,
Jerome Cunningham\CunnJe00,,124,
Darrell Daniels\DaniDa02,,132,
Geremy Davis\DaviGe00,,233,
Trevor Davis\DaviTr03,,218,
Dalyn Dawkins\DawkDa01,,154,
Matthew Dayes\DayeMa00,,158,
Garrett Dickerson\DickGa00,,125,
Quinton Dunbar\DunbQu00,,214,
Steven Dunbar\DunbSt00,,223,
Malachi Dupre\DuprMa01,,221,
Trey Edmunds\EdmuTr00,,155,
Alex Ellis\ElliAl01,,128,
Donnie Ernsberger\ErnsDo00,,133,
Isaiah Ford\FordIs00,,234,
Daurice Fountain\FounDa00,,237,
Mose Frazier\FrazMo00,,215,
Rico Gafford\GaffRi00,,227,
C.J. Goodwin\GoodC.00,,235,
Janarion Grant\GranJa01,,209,
Garrett Griffin\GrifGa00,,134,
Clark Harris\HarrCl20,,120,
Temarrick Hemingway\HemiTe00,,122,
De'Angelo Henderson\HendDe01,,165,
Quadree Henderson\HendQu00,,228,
Hunter Henry\HenrHu00,,131,
Darrius Heyward-Bey\HeywDa00,,206,
Gabe Holmes\HolmGa00,,123,
Johnny Holton\HoltJo00,,236,
Buddy Howell\HoweBu00,,157,
Buddy Howell\HoweGr00,,161,
Chad Kelly\KellCh00,,69,
Ben Koyack\KoyaBe00,,127,
Chris Lacy\LacyCh00,,225,
Lance Lenoir\LenoLa00,,219,
