Rk_x,Player,Tm,Predicted Receiving Yards,Predicted Receiving Touchdowns,Predicted Receiving Fumbles,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Rk_y,FantPt,FanPosRank,FanOvRank
99,Tyrell Williams,OAK,506.8100451,3.16881517,0.658468751,27,WR,14,12,64,42,0.66,651,15.5,6,33,46,10.2,3,46.5,0,127,101,44,
100,Jacob Hollister,SEA,314.8260286,2.330886843,0.528752742,26,te,11,3,59,41,0.7,349,8.5,3,16,22,5.9,3.7,31.7,0,209,53,27,
101,Zach Pascal,IND,450.6299977,2.888623178,0.620745051,25,WR,16,13,72,41,0.57,607,14.8,5,29,37,8.4,2.6,37.9,0,133,94,48,
102,Noah Fant,DEN,420.5620747,2.416929718,0.676180867,22,TE,16,11,66,40,0.61,562,14.1,3,23,75,8.5,2.5,35.1,1,170,71,16,
103,Kenny Stills,HOU,454.5534445,2.625842442,0.58757719,27,wr,13,5,55,40,0.73,561,14,4,27,45,10.2,3.1,43.2,0,152,80,58,
104,Auden Tate,CIN,482.5790968,1.975805779,0.694027602,22,WR,12,10,80,40,0.5,575,14.4,1,29,33,7.2,3.3,47.9,1,187,62,73,
105,Nelson Agholor,PHI,326.0477908,2.270873046,0.81676208,26,WR,11,10,69,39,0.57,363,9.3,3,17,43,5.3,3.5,33,2,199,55,79,
106,Kyle Rudolph,MIN,282.2123619,2.930992789,0.529516017,30,TE,16,16,48,39,0.81,367,9.4,6,24,32,7.6,2.4,22.9,0,161,75,14,
107,Jamaal Williams,GNB,208.9839993,2.50556988,0.653956086,24,rb,14,2,45,39,0.87,253,6.5,5,16,17,5.6,2.8,18.1,0,118,107,36,
108,Jimmy Graham,GNB,339.4925004,2.287336146,0.642626758,33,TE,16,10,60,38,0.63,447,11.8,3,23,48,7.5,2.4,27.9,1,186,63,22,
109,Vance McDonald,PIT,228.9340675,2.190450749,0.596130192,29,TE,14,14,55,38,0.69,273,7.2,3,12,22,5,2.7,19.5,1,231,46,35,
