Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
Chad Hall\HallCh00,KAN,27,,9,0,7,2,28.60%,20,10,0,2,11,2.9,0.2,2.2,0
Michael Hill\HillMi00,2TM,24,,8,0,2,2,100.00%,23,11.5,0,0,12,11.5,0.3,2.9,0
Kendall Hunter\HuntKe00,SFO,25,,16,0,4,2,50.00%,13,6.5,0,0,9,3.3,0.1,0.8,1
Chris Ivory\IvorCh00,NYJ,25,rb,15,6,7,2,28.60%,10,5,0,1,12,1.4,0.1,0.7,2
Brandon Jacobs\JacoBr00,NYG,31,rb,7,1,7,2,28.60%,13,6.5,0,0,8,1.9,0.3,1.9,1
LaMichael James\JameLa00,SFO,24,,10,0,3,2,66.70%,16,8,0,1,12,5.3,0.2,1.6,3
Damaris Johnson\JohnDa04,PHI,24,,13,0,3,2,66.70%,14,7,0,0,8,4.7,0.2,1.1,1
Dominique Jones\JoneDo01,2TM,26,,8,2,3,2,66.70%,34,17,0,0,21,11.3,0.3,4.3,0
Taiwan Jones\JoneTa00,OAK,25,,16,0,3,2,66.70%,55,27.5,0,1,52,18.3,0.1,3.4,2
Le'Ron McClain\McClLe00,SDG,29,fb,16,2,4,2,50.00%,-7,-3.5,0,0,7,-1.8,0.1,-0.4,0
Derek Moye\MoyeDe00,PIT,25,,7,0,6,2,33.30%,20,10,1,2,19,3.3,0.3,2.9,0
Matthew Mulligan\MullMa00,NWE,28,te,15,4,3,2,66.70%,16,8,1,1,15,5.3,0.1,1.1,0
Danny Noble\NoblDa00,JAX,24,te,8,1,3,2,66.70%,63,31.5,1,1,62,21,0.3,7.9,0
Michael Robinson\RobiMi00,SEA,30,fb,9,3,3,2,66.70%,27,13.5,0,1,21,9,0.2,3,0
Bernard Scott\ScotBe00,BAL,29,,2,0,2,2,100.00%,10,5,0,0,8,5,1,5,0
Visanthe Shiancoe\ShiaVi00,TEN,33,te,1,1,2,2,100.00%,2,1,0,0,3,1,2,2,0
Antone Smith\SmitAn01,ATL,28,,15,0,3,2,66.70%,10,5,0,0,6,3.3,0.1,0.7,0
Brad Smith\SmitBr01,2TM,30,,8,0,2,2,100.00%,27,13.5,0,0,14,13.5,0.3,3.4,1
LaRod Stephens-Howling\StepLa00,PIT,26,,1,0,3,2,66.70%,11,5.5,0,0,7,3.7,2,11,0
Craig Stevens\StevCr00,TEN,29,TE,15,14,6,2,33.30%,5,2.5,0,0,6,0.8,0.1,0.3,0
Jeremy Stewart\StewJe00,OAK,24,,13,0,2,2,100.00%,6,3,0,0,5,3,0.2,0.5,0
Lamaar Thomas\ThomLa02,JAX,23,,2,0,3,2,66.70%,31,15.5,0,2,18,10.3,1,15.5,0
Brian Tyms\TymsBr00,CLE,24,,7,0,5,2,40.00%,12,6,0,2,6,2.4,0.3,1.7,0
David Wilson\WilsDa01,NYG,22,rb,5,4,6,2,33.30%,8,4,0,0,6,1.3,0.4,1.6,2
Marquess Wilson\WilsMa02,CHI,21,wr,10,1,3,2,66.70%,13,6.5,0,1,10,4.3,0.2,1.3,0
Dwayne Allen\AlleDw00,IND,23,te,1,1,2,1,50.00%,20,20,1,1,20,10,1,20,0
Vick Ballard\BallVi00,IND,23,rb,1,1,2,1,50.00%,-5,-5,0,0,-5,-2.5,1,-5,0
Joe Banyard\BanyJo00,MIN,25,,3,0,1,1,100.00%,11,11,0,1,11,11,0.3,3.7,0
Richie Brockel\BrocRi00,CAR,27,,16,0,1,1,100.00%,12,12,0,1,12,12,0.1,0.8,1
Orson Charles\CharOr00,CIN,22,,13,0,2,1,50.00%,8,8,0,0,8,4,0.1,0.6,0
Chimdi Chekwa\ChekCh00,OAK,25,lcb,15,1,1,1,100.00%,22,22,0,1,22,22,0.1,1.5,0
Tyler Clutts\ClutTy00,2TM,29,,8,0,2,1,50.00%,4,4,0,0,4,2,0.1,0.5,1
Kevin Cone\ConeKe00,ATL,25,,16,0,1,1,100.00%,12,12,0,1,12,12,0.1,0.8,0
Justice Cunningham\CunnJu00,2TM,22,,2,0,1,1,100.00%,4,4,0,0,4,4,0.5,2,0
Armanti Edwards\EdwaAr00,2TM,25,,6,0,5,1,20.00%,10,10,0,0,10,2,0.2,1.7,0
Ryan Fitzpatrick\FitzRy00,TEN,31,QB,11,9,1,1,100.00%,0,0,0,0,0,0,0.1,0,9
Richard Gordon\GordRi00,KAN,26,,2,0,1,1,100.00%,3,3,0,0,3,3,0.5,1.5,0
Ray Graham\GrahRa00,HOU,23,,1,0,3,1,33.30%,12,12,0,1,12,4,1,12,0
Tori Gurley\GurlTo00,CLE,26,,3,0,3,1,33.30%,15,15,0,1,15,5,0.3,5,0
Percy Harvin\HarvPe00,SEA,25,,1,0,1,1,100.00%,17,17,0,1,17,17,1,17,0
Dan Herron\HerrDa00,IND,24,,6,0,1,1,100.00%,57,57,0,1,57,57,0.2,9.5,0
Robert Hughes\HughRo00,2TM,24,,2,0,2,1,50.00%,6,6,0,0,6,3,0.5,3,0
Henry Hynoski\HynoHe01,NYG,25,te,3,2,2,1,50.00%,5,5,0,0,5,2.5,0.3,1.7,0
Deji Karim\KariDe00,HOU,27,,7,0,2,1,50.00%,-1,-1,0,0,-1,-0.5,0.1,-0.1,0
Nick Kasa\KasaNi00,OAK,23,te,16,1,5,1,20.00%,9,9,1,1,9,1.8,0.1,0.6,0
Zach Line\LineZa01,MIN,23,fb,3,1,3,1,33.30%,8,8,0,0,8,2.7,0.3,2.7,0
Kyle Long*\LongKy00,CHI,25,RG,16,16,1,1,100.00%,-1,-1,0,0,-1,-1,0.1,-0.1,1
